epoch,val_loss,accuracy,auc,precision,recall,f1_score
1,0.7220144867897034,0.5561904761904762,0.6076084082069673,0.537542662116041,0.8005082592121983,0.6431852986217458
2,0.774278998374939,0.5225396825396825,0.5095951663774921,0.5144987572493787,0.7890724269377383,0.6228686058174524
3,0.7161725163459778,0.6012698412698413,0.6295061242655073,0.5817060637204522,0.7191867852604829,0.6431818181818182
4,0.702026903629303,0.6279365079365079,0.6724912763885216,0.6030769230769231,0.747141041931385,0.6674233825198638
5,0.7386149764060974,0.5923809523809523,0.666158998703552,0.5587044534412956,0.8767471410419314,0.6824925816023739
6,0.710228681564331,0.6190476190476191,0.6622035423345094,0.5899903753609239,0.7789072426937739,0.6714129244249726
7,0.7013676166534424,0.6253968253968254,0.6361213952618373,0.6035751840168244,0.7293519695044473,0.6605293440736478
8,0.7034098505973816,0.6228571428571429,0.6359907829642863,0.6023329798515377,0.7217280813214739,0.6566473988439306
9,0.7007899284362793,0.6285714285714286,0.6430575532607924,0.6081370449678801,0.7217280813214739,0.6600813480534573
10,0.702273964881897,0.6273015873015872,0.6400454079296177,0.6059322033898306,0.7268106734434562,0.660889659156557
11,0.7058229446411133,0.6215873015873016,0.6348418784950884,0.5985552115583075,0.7369758576874206,0.6605922551252847
12,0.7047492265701294,0.6234920634920635,0.637087281264714,0.6008316008316008,0.7344345616264295,0.6609491137793024
13,0.7013247609138489,0.6292063492063492,0.6332390559794632,0.6056191467221644,0.7395171537484116,0.665903890160183
14,0.7024208903312683,0.6273015873015872,0.6361786389231097,0.6043841336116911,0.735705209656925,0.6636103151862465
15,0.7064274549484253,0.6228571428571429,0.6334583556395488,0.5993820803295572,0.7395171537484116,0.6621160409556314
16,0.7095241546630859,0.6152380952380953,0.6280040828436715,0.5932028836251287,0.7318932655654383,0.6552901023890785
17,0.7102785110473633,0.6133333333333333,0.627479214907217,0.5911885245901639,0.7331639135959339,0.6545660805445264
18,0.7103075385093689,0.6146031746031746,0.6251443185263064,0.5920245398773006,0.735705209656925,0.6560906515580737
19,0.7102420330047607,0.6139682539682539,0.6278162268848484,0.5912334352701325,0.7369758576874206,0.6561085972850679
20,0.7117196321487427,0.6133333333333333,0.6211138810234844,0.5895372233400402,0.7445997458703939,0.6580572711959574
21,0.7069573402404785,0.6215873015873016,0.6270954405020672,0.5975485188968335,0.7433290978398983,0.6625141562853907
22,0.7114841938018799,0.6133333333333333,0.6208970001096499,0.5904471544715447,0.7382465057179162,0.6561264822134387
23,0.7101685404777527,0.6146031746031746,0.6226530098878347,0.5918367346938775,0.7369758576874206,0.656479909451047
24,0.7081424593925476,0.6190476190476191,0.623522952289424,0.5955056179775281,0.7407878017789072,0.6602491506228766
25,0.7046217322349548,0.6247619047619047,0.6328972065093299,0.6012396694214877,0.7395171537484116,0.6632478632478632
26,0.7060661911964417,0.6209523809523809,0.6323739510703758,0.5977366255144033,0.7382465057179162,0.6606026151222285
27,0.7076743841171265,0.6196825396825397,0.6239405891420868,0.5963114754098361,0.7395171537484116,0.6602382302892796
28,0.7116206288337708,0.6114285714285714,0.6188781532388624,0.5897435897435898,0.7306226175349428,0.6526674233825198
29,0.7091695666313171,0.6184126984126984,0.6236801707957351,0.5948979591836735,0.7407878017789072,0.6598754951895869
30,0.7134126424789429,0.6101587301587301,0.6214750804636253,0.5871097683786506,0.7407878017789072,0.6550561797752809
31,0.7097499370574951,0.6177777777777778,0.6302656105883035,0.592964824120603,0.7496823379923762,0.6621773288439955
32,0.7112420797348022,0.6133333333333333,0.6276920645772999,0.589,0.7484116899618806,0.6592053721320649
33,0.7109211683273315,0.6139682539682539,0.6245896193860899,0.5904954499494439,0.7420584498094028,0.6576576576576577
34,0.710849404335022,0.6139682539682539,0.6295980366230433,0.5908629441624366,0.7395171537484116,0.6568848758465011
35,0.7099644541740417,0.6152380952380953,0.6293239120479364,0.5916919959473151,0.7420584498094028,0.6583990980834273
36,0.7065476775169373,0.6215873015873016,0.6328689878030689,0.5963673057517659,0.7509529860228716,0.6647919010123734
37,0.7091113924980164,0.6158730158730159,0.6332801746657293,0.592292089249493,0.7420584498094028,0.658770445572476
38,0.7127512693405151,0.606984126984127,0.6373493121085662,0.5848484848484848,0.735705209656925,0.6516601012943163
39,0.7162065505981445,0.6038095238095238,0.6330213688168783,0.5809334657398213,0.7433290978398983,0.6521739130434783
40,0.7147727012634277,0.6038095238095238,0.6359004831042512,0.5819095477386935,0.735705209656925,0.6498316498316499
41,0.7143005728721619,0.6063492063492063,0.6386804287953353,0.5835835835835835,0.7407878017789072,0.6528555431131019
42,0.712454617023468,0.6082539682539683,0.6414837557001787,0.5860323886639676,0.735705209656925,0.652394366197183
43,0.7149902582168579,0.6019047619047619,0.6406815381936157,0.5804828973843058,0.7331639135959339,0.6479505895564289
44,0.7111573815345764,0.6120634920634921,0.6427269912731635,0.5894308943089431,0.7369758576874206,0.6549971767363072
45,0.7117622494697571,0.6095238095238096,0.6456093305555376,0.5875763747454175,0.7331639135959339,0.6523459581684568
46,0.7109571695327759,0.6050793650793651,0.6440282767561711,0.5840978593272171,0.7280813214739518,0.6481900452488688
47,0.7140544652938843,0.6025396825396825,0.646507491663388,0.5818921668362157,0.7268106734434562,0.6463276836158192
48,0.7140226364135742,0.6044444444444445,0.6450449564303176,0.5831643002028397,0.7306226175349428,0.6486181613085167
49,0.7124550938606262,0.6095238095238096,0.6486779132992344,0.5866935483870968,0.7395171537484116,0.654300168634064
50,0.7128829956054688,0.6076190476190476,0.652346345113165,0.5849246231155779,0.7395171537484116,0.6531986531986532
51,0.7119423747062683,0.6057142857142858,0.6551311282967511,0.5845213849287169,0.7293519695044473,0.6489542114188808
52,0.708987295627594,0.6101587301587301,0.656643650952341,0.5887179487179487,0.7293519695044473,0.6515323496027242
53,0.7088652849197388,0.6139682539682539,0.6570604815562535,0.592938733125649,0.7255400254129606,0.6525714285714286
54,0.7115117907524109,0.6088888888888889,0.660558794883868,0.5878725590955807,0.7268106734434562,0.65
55,0.7121084332466125,0.6082539682539683,0.6571274002025297,0.587991718426501,0.7217280813214739,0.648031945236737
56,0.7120401859283447,0.6044444444444445,0.6606458697489019,0.5836734693877551,0.7268106734434562,0.6474250141482739
57,0.7090162634849548,0.6126984126984127,0.6615907932842704,0.590030518819939,0.7369758576874206,0.655367231638418
58,0.7122860550880432,0.6044444444444445,0.6588430975431988,0.5848861283643892,0.7179161372299873,0.6446092413006275
59,0.7097669243812561,0.6082539682539683,0.6573837873051296,0.5881742738589212,0.7204574332909784,0.6476299257567104
60,0.7089447975158691,0.6133333333333333,0.6588608350157057,0.5927083333333333,0.7229987293519695,0.6514024041213509
61,0.7095378041267395,0.6082539682539683,0.6564453137597637,0.5887265135699373,0.7166454891994918,0.6464183381088825
62,0.7109897136688232,0.6076190476190476,0.6529639316559059,0.5877466251298027,0.7191867852604829,0.6468571428571429
63,0.7099189162254333,0.6126984126984127,0.6524938886344727,0.5920915712799167,0.7229987293519695,0.6510297482837528
64,0.7091439962387085,0.6082539682539683,0.6518327646592148,0.5889121338912134,0.7153748411689962,0.6460126219162364
